Route Name,Grade,Ascents
★★★ Albișoara Gemenelor,2A,9
★★ 11,M5,9
★ Little Bad Boy,M7/8,9
★★ Tuareg,6+,9
★★ De Pomană,7-,9
★★★ Astor,6,9
★ Beleg,4,9
★★★ Simplu și Pur,8,9
★★ Strânga,7+,9
★★★ Enter The Dragon,M9,9
★ Relax,6-,9
★★ Frumoasa,{FR} 6a,9
★★★ P.O.H.U.I,{FR} 6a+,9
★★ The queen is dead,{FR} 6a,9
★★ Kia,6-,9
★★ Sensei,6-,9
★★★ Culus Strictus,7-,9
★ Capra mare,{FR} 6a,9
★★ Cloud Atlas,{FR} 6a,9
★★ Mentula,6+,9
★ Decretul 6,7-,9
★ Pussy Pipe,6+,9
★★ Taz,{FR} 5b UIAA:6-,9
★★ Violas,{FR} 5a UIAA:5,9
★★ Ouzo,{FR} 5a,9
★ Epicondilita,6,9
★★ Pepa,7,9
★★ Fetiș,4,9
★★★ 25 Octombrie,6,9
★★ Fisura Răsucită,6+,9
★★★ Traseul Cățărătorului,7- A0 4B,9
★ AC,6+,9
Gully Track,WI3 M4,8
★★ Minciună,7+,9
1,4,9
★★ Biba,7-,9
★★★ 22,6-,9
Bolovanul buclucaș,5,9
★ Slack acces,5+,9
★★★ Umor grotesc,5+,9
★★ Via Ferrata Casa Zmeului,C,9
★★ Armatei,6+,9
★★ Facultativ,FR:6a,9
★★ Mokus,5+,9
★★ Sky Fly,C,9
★★ LH Direct,{FR} 6b,9
★★★ Superbețea de catifea,7-,9
★★ Vespula Vulgaris,6+,9
★★ Central,6+ 3B,9
★★★ Duni,{FR} 7b+,8
★★ Traseul Galben,5+/6-,9
★ Fetele din B,6-,9
★★★ Barabancea,FR:6b+,8
★★★ Nurofen,{FR} 6a,8
★★★ Kartoffel,{FR} 6b,8
Z,{FR} 6b+,8
★★ Ospen,{FR} 4b,8
★★★ Endorphin,M10,8
★★★ Sideways to Heaven,{FR} 7a+,8
Hiene perverse,7,8
★★ Lambda,6,8
★★ Rapaport,8,8
★★ Csardas,6+,8
★★ Biți,6-,8
★★★ Furazolidon,{FR} 6a,8
★★★ C4,7-/7,8
★ Hobitul,5+,8
★★★ Agonie și Extaz,{FR} 6c,8
★★ Albișoara Crucii,2A,8
★★ Furunkulu,7-,8
★★ Turnul de Aramă,6+,8
★ Maioneză,5+,8
Gata la Jumate',M9,8
★★ No Woman No Cry,M4,8
Secera,M5,8
★★ Nenumitu,7,8
★★ Placa,8-,8
★★ Pampers,7/7+,8
★★★ Love,7-,8
★★★ Menuet,9-,8
★★ Trombonel,6-,8
★★ Traversarea Acelor Morarului,4 2A,8
Bifur,6,8
★ Belegear,5,8
★★ Aramis 1,6-,8
Wind,6,8
★★★ Ride My Buci,7,8
Altcândva,7-,8
★★ Fisură,7,8
★★★ Enjoy,6+,8
★★ Muchia Panseluței,6,8
★★ Cha Cha,6+,8
★★ Mititica,4,8
★★ Cocain și Abel,6+,8
★ Mitică,7-,8
★★★ Creasta Sudică,5+,8
Diedrul,6,8
★★ Hera,{FR} 5b,8
★★ Codiță,{FR} 6c,8
★ La Răcoare,6+,8
★★ Gâde,7-,8
Zozo,7-,8
★★ Dreptate cu briceagu',8-,8
★★ Arpad,6,8
Vine seara,5+/6-,8
Lisa,6+,8
★★ Zeghe,5+,8
★★★ Sinuzită,{FR} 7a/a+,8
★★ Maria,7+,8
★★ Tentația,6,8
★★ Atenție la Buzunare,5+,8
★★ Felină obosită,6,8
Joint,6-,8
★★ Patan,6+/7-,8
★★★ Bluto,7-,8
★★★ Vacanța mare,FR:6b,8
★★★ Corigență,FR:6b,8
★★★ Turnul Cetății,7-,8
★★ Avântul,7-,8
★★ Norișor,6,8
★★ Răzvaniella,6+,8
Leon,6,8
★★ Kaa,6,8
★ Mel Gibson,6,8
★★ Toledo,5+,8
★★ Csipkés,8-,8
Gonzo,7-,8
★★ Dric,6-,8
★★★ Contre-jour,{FR} 5b,8
Calea cea Dreaptă,{FR} 6b,8
★ Rezidențiat,FR:6a+,8
★★ Coroana,5+,8
Sex for money,{FR} 7a+,8
★★ Varianta,5,8
Buba,6-,8
★★★ Banditu',8-,8
★★ Traseul Albastru,5+,8
Traseul Roșu,6-,8
★★★ Me and you,{FR} 6c+,7
★★★ Natural Killer,M10,7
★★ Ariana,6-,7
★★★ Visine,{FR} 6b,7
Chipped ★★ Ohne Dich,{FR} 7a+,7
★★★ Bobcat,{FR} 6b+,7
Zoliko,7,7
★★ Muchia Caprelor,4+,7
Cam Bec,{FR} 7a+,7
★★ F.N.,7-,7
★★★ Omida,{FR} 5c,7
Piranha,{FR} 5a,7
★★ Traseul Negru,{FR} 6a,7
★★ Misere,{FR} 5c,7
★ Guano,{FR} 6a,7
★★★ Colebil,{FR} 5c,7
★★★ Traseul Vânătorilor de Munte,{FR} 6b,7
★ Extemporal,6+,7
★★ Pintea dulăul,7+,7
3M,4+,7
Bombur,6-,7
Pasărea Spin,8+/9-,7
★★ Alone in the bush,7-,7
★★★ Hornul Coamei,1B,7
★★★ Creasta Vulturilor,5+,7
★★ Rainy Day,{FR} 7a,7
★★★ Nico,{FR} 6c,7
★★★ Priapus,7,7
★★ Party-tura,{FR} 4b,7
★ Mami vreau la grădiniță,FR:5a,7
★★★ Restanțierii,FR:6c+,7
★★★ La școala vieții,FR:6b+,7
★★ Mezcal,7,7
★★★ Țânțarul,M7,7
★★ Traseul 7,M5,7
★★★ Valea Mălinului,1B,7
Interzis Minorilor,M10,7
Vadra,5-,7
★★ Mungo,7-,7
★★ LM,7-,7
★ Imhotep,6-,7
★★ Pic,6-,7
★★ Poc,5+,7
★★ Wilkinson,6+,7
★★ unknown 4,6+,7
★ Bilbo,6+,7
Brâul Mare al Jepilor,1A,7
★★ Canal,7,7
Donkye,6+,7
★ Trocea,5+,7
★ Sfinxul,7-,7
Omida,M4,7
★★ Mosquitos,6,7
★★ Sârbă,7-,7
★★ Tara,7-,7
★ Power Up,7-/7,7
★★ Do it yourself,{FR} 6c+,7
★★★ Extemporal,7,7
Flyer,8-,7
★★ Flubber,7,7
